"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","mean","sd","SKO"
"7951",0.326,0.474,0,0.194,0,0,0,0.006,0,0,0,0.692224117,0.248837702,0.272962307,0.535135135,0.5,28.2832156207505,2.851877742111,0.0629084481774503
"7977",0.274,0.474,0,0.246,0,0,0,0.006,0,0,0,0.80645403,0.210632777,0.282015179,0.535135135,0.5,29.0387390435543,2.50146541811598,0.0629077118768031
"252733",0.404,0.474,0.012,0.11,0,0,0,0,0,0,0,0.47818559,0.332459624,0.244221762,0.632432432,0.5,27.2933843917939,3.30470974362051,0.0629036254185643
"225891",0.346,0.484,0,0.158,0,0,0,0.012,0,0,0,0.624241374,0.282974142,0.273873847,0.632432432,0.5,28.3898649092713,2.80262255038293,0.0629032256818866
"102449",0.39,0.478,0,0.118,0,0,0,0.014,0,0,0,0.513440833,0.319654046,0.25677607,0.589189189,0.5,26.8166007781058,3.52050702492491,0.0628957361743344
"286",0.31,0.47,0.004,0.216,0,0,0,0,0,0,0,0.73093978,0.234033183,0.273293731,0.524324324,0.5,27.6131139975161,3.15904759510188,0.0628952585678485
"126703",0.374,0.468,0.012,0.146,0,0,0,0,0,0,0,0.567713631,0.308620598,0.274145431,0.583783784,0.5,26.9827526987975,3.44541961624579,0.0628947292638131
"5304",0.37,0.474,0,0.152,0,0,0,0.004,0,0,0,0.588278946,0.275567029,0.245782883,0.52972973,0.5,26.8209670683909,3.51851828137035,0.0628941915735543
"169",0.342,0.472,0.002,0.184,0,0,0,0,0,0,0,0.659749182,0.250707793,0.253929822,0.521621622,0.5,26.908305514933,3.47906171254486,0.0628932314512085
"294242",0.406,0.486,0.002,0.106,0,0,0,0,0,0,0,0.475605154,0.301307034,0.197399503,0.635135135,0.5,27.1083440349143,3.38853104832947,0.0628921258251895
"43025",0.276,0.458,0.018,0.248,0,0,0,0,0,0,0,0.792505533,0.255927985,0.331011455,0.559459459,0.5,27.9293350794314,3.01428362108487,0.0628828583500714
"42461",0.394,0.468,0.008,0.13,0,0,0,0,0,0,0,0.524053901,0.309400759,0.248937185,0.545945946,0.5,27.0208618943902,3.42802845262323,0.0628817765305756
"191725",0.398,0.482,0,0.102,0,0,0,0.018,0,0,0,0.475321327,0.338859765,0.254394089,0.632432432,0.5,27.3522684717521,3.27761651007957,0.0628737445194643
"396",0.292,0.468,0.006,0.234,0,0,0,0,0,0,0,0.768340528,0.22759068,0.285050216,0.527027027,0.5,27.9033859714267,3.02604906697165,0.0628708106408425
"168675",0.46,0.47,0.012,0.058,0,0,0,0,0,0,0,0.320722718,0.373208013,0.184991608,0.6,0.5,25.4373153791447,4.13734380786543,0.062866399781678
