"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"26329",0.32,0.474,0,0.186,0,0,0,0.02,0,0,0,0.690671112,0.283750772,0.316660578,0.572972973,0.5,0.0751722641421654,27.0178599741985,3.64833097196049
"168620",0.368,0.472,0.01,0.15,0,0,0,0,0,0,0,0.581702813,0.297789251,0.26781395,0.597297297,0.5,0.0751675166711866,26.9304768634129,3.69050252303441
"252211",0.438,0.484,0.002,0.076,0,0,0,0,0,0,0,0.386152648,0.324586533,0.166033516,0.618918919,0.5,0.0751646723665381,25.2849221030313,4.47138441809474
"105130",0.278,0.478,0,0.228,0,0,0,0.016,0,0,0,0.787678007,0.241953049,0.310794903,0.594594595,0.5,0.075163009794292,27.636818639567,3.34666442404905
"470",0.346,0.466,0.008,0.18,0,0,0,0,0,0,0,0.646258529,0.273960815,0.2792597,0.52972973,0.5,0.0751598300071259,27.0027593980693,3.65551083389008
"136585",0.398,0.48,0,0.114,0,0,0,0.008,0,0,0,0.498746078,0.308971847,0.23139754,0.589189189,0.5,0.07515972535063,25.6518590482393,4.29932554639717
"34201",0.326,0.474,0,0.174,0,0,0,0.026,0,0,0,0.668129044,0.305302268,0.3298553,0.589189189,0.5,0.0751554346642822,26.6263768130323,3.83666026388428
"127132",0.324,0.46,0.02,0.196,0,0,0,0,0,0,0,0.683792026,0.298102551,0.326975781,0.594594595,0.5,0.0751427939572007,27.0881638246015,3.61401587210893
"253285",0.31,0.464,0.022,0.204,0,0,0,0,0,0,0,0.709190267,0.294679199,0.332278374,0.645945946,0.5,0.0751409072121417,28.8714803326925,2.7293444123806
"168505",0.396,0.474,0.008,0.122,0,0,0,0,0,0,0,0.509565365,0.311986585,0.240141689,0.594594595,0.5,0.0751407548368891,26.0079472879213,4.1311035851243
"44684",0.39,0.476,0,0.132,0,0,0,0.002,0,0,0,0.536918944,0.284960727,0.222759237,0.540540541,0.5,0.0751343468763627,26.3118769654929,3.98672056833094
"42690",0.34,0.464,0.012,0.184,0,0,0,0,0,0,0,0.655723351,0.283078281,0.295691541,0.551351351,0.5,0.0751298844852134,27.366105784941,3.47881512599372
"169736",0.358,0.45,0.032,0.16,0,0,0,0,0,0,0,0.592065954,0.363462183,0.351747291,0.627027027,0.5,0.0751251115587522,27.0919421845058,3.6120136241977
"211397",0.46,0.458,0.026,0.056,0,0,0,0,0,0,0,0.306665465,0.420665431,0.230811841,0.635135135,0.5,0.0751233842904624,25.1911039186699,4.51471695509889
